Processed MC Number 1550735 | Start: 2024-08-17 06:30:21.341917 | End: 2024-08-17 06:30:25.113823 | Duration: 3.771906 seconds | Data: Record Not Found
Processed MC Number 1550736 | Start: 2024-08-17 06:30:25.113917 | End: 2024-08-17 06:30:34.636472 | Duration: 9.522555 seconds | Data: Record Active
Processed MC Number 1550737 | Start: 2024-08-17 06:30:34.636588 | End: 2024-08-17 06:30:44.312641 | Duration: 9.676053 seconds | Data: Record Active
Processed MC Number 1550738 | Start: 2024-08-17 06:30:44.312869 | End: 2024-08-17 06:30:53.857330 | Duration: 9.544461 seconds | Data: Record Active
Processed MC Number 1550739 | Start: 2024-08-17 06:30:53.857583 | End: 2024-08-17 06:31:03.526443 | Duration: 9.66886 seconds | Data: Record Active
Processed MC Number 1550740 | Start: 2024-08-17 06:31:03.526686 | End: 2024-08-17 06:31:07.345616 | Duration: 3.81893 seconds | Data: Record Not Found
Processed MC Number 1550741 | Start: 2024-08-17 06:31:07.345729 | End: 2024-08-17 06:31:11.170540 | Duration: 3.824811 seconds | Data: Record Not Found
Processed MC Number 1550742 | Start: 2024-08-17 06:31:11.170656 | End: 2024-08-17 06:31:20.750096 | Duration: 9.57944 seconds | Data: Record Active
Processed MC Number 1550743 | Start: 2024-08-17 06:31:20.750202 | End: 2024-08-17 06:31:30.594500 | Duration: 9.844298 seconds | Data: Record Active
Processed MC Number 1550744 | Start: 2024-08-17 06:31:30.594849 | End: 2024-08-17 06:31:49.257669 | Duration: 18.66282 seconds | Data: Record Active
Processed MC Number 1550745 | Start: 2024-08-17 06:31:49.257906 | End: 2024-08-17 06:32:00.028184 | Duration: 10.770278 seconds | Data: Record Active
Processed MC Number 1550746 | Start: 2024-08-17 06:32:00.028453 | End: 2024-08-17 06:32:10.957143 | Duration: 10.92869 seconds | Data: Record Active
Processed MC Number 1550747 | Start: 2024-08-17 06:32:10.957412 | End: 2024-08-17 06:32:27.098224 | Duration: 16.140812 seconds | Data: Record Active
Processed MC Number 1550748 | Start: 2024-08-17 06:32:27.098458 | End: 2024-08-17 06:32:37.930428 | Duration: 10.83197 seconds | Data: Record Active
Processed MC Number 1550749 | Start: 2024-08-17 06:32:37.930681 | End: 2024-08-17 06:32:42.671553 | Duration: 4.740872 seconds | Data: Record Not Found
Processed MC Number 1550750 | Start: 2024-08-17 06:32:42.671763 | End: 2024-08-17 06:32:46.549058 | Duration: 3.877295 seconds | Data: Record Not Found
Processed MC Number 1550751 | Start: 2024-08-17 06:32:46.549155 | End: 2024-08-17 06:32:57.248657 | Duration: 10.699502 seconds | Data: Record Active
Processed MC Number 1550752 | Start: 2024-08-17 06:32:57.249495 | End: 2024-08-17 06:33:07.627246 | Duration: 10.377751 seconds | Data: Record Active
Processed MC Number 1550753 | Start: 2024-08-17 06:33:07.628067 | End: 2024-08-17 06:33:11.875438 | Duration: 4.247371 seconds | Data: Record Not Found
Processed MC Number 1550754 | Start: 2024-08-17 06:33:11.875541 | End: 2024-08-17 06:33:15.636565 | Duration: 3.761024 seconds | Data: Record Not Found
Processed MC Number 1550755 | Start: 2024-08-17 06:33:15.636645 | End: 2024-08-17 06:33:26.295028 | Duration: 10.658383 seconds | Data: Record Active
Processed MC Number 1550756 | Start: 2024-08-17 06:33:26.295821 | End: 2024-08-17 06:33:30.552028 | Duration: 4.256207 seconds | Data: Record Not Found
Processed MC Number 1550757 | Start: 2024-08-17 06:33:30.552116 | End: 2024-08-17 06:33:41.321602 | Duration: 10.769486 seconds | Data: Record Active
Processed MC Number 1550758 | Start: 2024-08-17 06:33:41.322372 | End: 2024-08-17 06:33:45.638051 | Duration: 4.315679 seconds | Data: Record Not Found
Processed MC Number 1550759 | Start: 2024-08-17 06:33:45.638152 | End: 2024-08-17 06:33:49.896521 | Duration: 4.258369 seconds | Data: Record Inactive
Processed MC Number 1550760 | Start: 2024-08-17 06:33:49.896664 | End: 2024-08-17 06:33:54.185803 | Duration: 4.289139 seconds | Data: Record Not Found
Processed MC Number 1550761 | Start: 2024-08-17 06:33:54.185937 | End: 2024-08-17 06:33:58.475026 | Duration: 4.289089 seconds | Data: Record Not Found
Processed MC Number 1550762 | Start: 2024-08-17 06:33:58.475130 | End: 2024-08-17 06:34:07.971495 | Duration: 9.496365 seconds | Data: Record Active
Processed MC Number 1550763 | Start: 2024-08-17 06:34:07.971619 | End: 2024-08-17 06:34:18.244150 | Duration: 10.272531 seconds | Data: Record Active
Processed MC Number 1550764 | Start: 2024-08-17 06:34:18.244255 | End: 2024-08-17 06:34:22.501918 | Duration: 4.257663 seconds | Data: Record Not Found
Processed MC Number 1550765 | Start: 2024-08-17 06:34:22.502000 | End: 2024-08-17 06:34:26.264596 | Duration: 3.762596 seconds | Data: Record Not Found
Processed MC Number 1550766 | Start: 2024-08-17 06:34:26.264677 | End: 2024-08-17 06:34:30.550778 | Duration: 4.286101 seconds | Data: Record Not Found
Processed MC Number 1550767 | Start: 2024-08-17 06:34:30.550891 | End: 2024-08-17 06:34:34.770141 | Duration: 4.21925 seconds | Data: Record Not Found
Processed MC Number 1550768 | Start: 2024-08-17 06:34:34.770246 | End: 2024-08-17 06:34:38.969247 | Duration: 4.199001 seconds | Data: Record Not Found
Processed MC Number 1550769 | Start: 2024-08-17 06:34:38.969358 | End: 2024-08-17 06:34:49.222794 | Duration: 10.253436 seconds | Data: Record Active
Processed MC Number 1550770 | Start: 2024-08-17 06:34:49.223681 | End: 2024-08-17 06:35:00.142131 | Duration: 10.91845 seconds | Data: Record Active
Processed MC Number 1550771 | Start: 2024-08-17 06:35:00.142884 | End: 2024-08-17 06:35:04.603201 | Duration: 4.460317 seconds | Data: Record Not Found
Processed MC Number 1550772 | Start: 2024-08-17 06:35:04.603387 | End: 2024-08-17 06:35:08.875086 | Duration: 4.271699 seconds | Data: Record Not Found
Processed MC Number 1550773 | Start: 2024-08-17 06:35:08.875175 | End: 2024-08-17 06:35:13.091699 | Duration: 4.216524 seconds | Data: Record Not Found
Processed MC Number 1550774 | Start: 2024-08-17 06:35:13.091781 | End: 2024-08-17 06:35:22.618528 | Duration: 9.526747 seconds | Data: Record Active
Processed MC Number 1550775 | Start: 2024-08-17 06:35:22.618623 | End: 2024-08-17 06:35:32.697724 | Duration: 10.079101 seconds | Data: Record Active
Processed MC Number 1550776 | Start: 2024-08-17 06:35:32.698865 | End: 2024-08-17 06:35:43.428891 | Duration: 10.730026 seconds | Data: Record Active
Processed MC Number 1550777 | Start: 2024-08-17 06:35:43.430002 | End: 2024-08-17 06:35:47.721431 | Duration: 4.291429 seconds | Data: Record Not Found
Processed MC Number 1550778 | Start: 2024-08-17 06:35:47.721552 | End: 2024-08-17 06:35:58.227451 | Duration: 10.505899 seconds | Data: Record Active
Processed MC Number 1550779 | Start: 2024-08-17 06:35:58.228222 | End: 2024-08-17 06:36:02.484267 | Duration: 4.256045 seconds | Data: Record Not Found
Processed MC Number 1550780 | Start: 2024-08-17 06:36:02.484390 | End: 2024-08-17 06:36:12.763644 | Duration: 10.279254 seconds | Data: Record Active
Processed MC Number 1550781 | Start: 2024-08-17 06:36:12.763766 | End: 2024-08-17 06:36:22.856608 | Duration: 10.092842 seconds | Data: Record Active
Processed MC Number 1550782 | Start: 2024-08-17 06:36:22.857467 | End: 2024-08-17 06:36:27.595315 | Duration: 4.737848 seconds | Data: Record Not Found
Processed MC Number 1550783 | Start: 2024-08-17 06:36:27.595417 | End: 2024-08-17 06:36:37.857287 | Duration: 10.26187 seconds | Data: Record Active
Processed MC Number 1550784 | Start: 2024-08-17 06:36:37.858227 | End: 2024-08-17 06:36:42.643308 | Duration: 4.785081 seconds | Data: Record Inactive
Processed MC Number 1550785 | Start: 2024-08-17 06:36:42.643405 | End: 2024-08-17 06:36:46.425235 | Duration: 3.78183 seconds | Data: Record Not Found
Processed MC Number 1550786 | Start: 2024-08-17 06:36:46.425485 | End: 2024-08-17 06:36:57.287320 | Duration: 10.861835 seconds | Data: Record Active
Processed MC Number 1550787 | Start: 2024-08-17 06:36:57.288092 | End: 2024-08-17 06:37:08.020947 | Duration: 10.732855 seconds | Data: Record Active
Processed MC Number 1550788 | Start: 2024-08-17 06:37:08.021692 | End: 2024-08-17 06:37:12.419803 | Duration: 4.398111 seconds | Data: Record Not Found
Processed MC Number 1550789 | Start: 2024-08-17 06:37:12.419902 | End: 2024-08-17 06:37:22.595719 | Duration: 10.175817 seconds | Data: Record Active
Processed MC Number 1550790 | Start: 2024-08-17 06:37:22.596557 | End: 2024-08-17 06:37:32.799500 | Duration: 10.202943 seconds | Data: Record Active
Processed MC Number 1550791 | Start: 2024-08-17 06:37:32.800533 | End: 2024-08-17 06:37:37.024841 | Duration: 4.224308 seconds | Data: Record Not Found
Processed MC Number 1550792 | Start: 2024-08-17 06:37:37.024946 | End: 2024-08-17 06:37:52.542067 | Duration: 15.517121 seconds | Data: Record Active
Processed MC Number 1550793 | Start: 2024-08-17 06:37:52.542825 | End: 2024-08-17 06:37:56.800463 | Duration: 4.257638 seconds | Data: Record Inactive
Processed MC Number 1550794 | Start: 2024-08-17 06:37:56.800547 | End: 2024-08-17 06:38:07.875816 | Duration: 11.075269 seconds | Data: Record Active
Processed MC Number 1550795 | Start: 2024-08-17 06:38:07.876579 | End: 2024-08-17 06:38:12.122231 | Duration: 4.245652 seconds | Data: Record Not Found
Processed MC Number 1550796 | Start: 2024-08-17 06:38:12.122313 | End: 2024-08-17 06:38:22.342650 | Duration: 10.220337 seconds | Data: Record Active
Processed MC Number 1550797 | Start: 2024-08-17 06:38:22.343418 | End: 2024-08-17 06:38:32.342066 | Duration: 9.998648 seconds | Data: Record Active
Processed MC Number 1550798 | Start: 2024-08-17 06:38:32.342783 | End: 2024-08-17 06:38:41.757891 | Duration: 9.415108 seconds | Data: Record Active
Processed MC Number 1550799 | Start: 2024-08-17 06:38:41.757973 | End: 2024-08-17 06:38:45.546753 | Duration: 3.78878 seconds | Data: Record Not Found
Processed MC Number 1550800 | Start: 2024-08-17 06:38:45.546970 | End: 2024-08-17 06:38:49.297421 | Duration: 3.750451 seconds | Data: Record Not Found
Processed MC Number 1550801 | Start: 2024-08-17 06:38:49.297504 | End: 2024-08-17 06:38:53.064510 | Duration: 3.767006 seconds | Data: Record Not Found
Processed MC Number 1550802 | Start: 2024-08-17 06:38:53.064594 | End: 2024-08-17 06:39:02.442017 | Duration: 9.377423 seconds | Data: Record Active
Processed MC Number 1550803 | Start: 2024-08-17 06:39:02.442134 | End: 2024-08-17 06:39:06.237546 | Duration: 3.795412 seconds | Data: Record Not Found
Processed MC Number 1550804 | Start: 2024-08-17 06:39:06.237630 | End: 2024-08-17 06:39:15.624664 | Duration: 9.387034 seconds | Data: Record Active
